ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate,notes
A,1,WOLF,Michael J,United Australia Party,0,1000,Bag,
A,2,McROBERT,Ross Thomas,United Australia Party,0,1000,Bag,
B,1,McCARTHY,Malarndirri,Australian Labor Party (Northern Territory) Branch,0,500,Final,
B,2,KURNORTH,Wayne,Australian Labor Party (Northern Territory) Branch,0,1000,Bag,
C,1,McMAHON,Sam,Country Liberals (NT),0,500,Final,
C,2,BURGOYNE,Joshua,Country Liberals (NT),0,1000,Bag,
D,1,EARLEY,Braedon,,0,1000,Bag,
D,2,JOHNSON,Crystal,,0,1000,Bag,
E,1,PILE,Jan,Rise Up Australia Party,0,1000,Bag,
E,2,HARRIS,Leslie,Rise Up Australia Party,0,1000,Bag,
F,1,KAVASILAS,Andrew,Help End Marijuana Prohibition (HEMP) Party,0,1000,Bag,
F,2,LAWRENCE,Lance,Help End Marijuana Prohibition (HEMP) Party,0,1000,Bag,
G,1,CAMPBELL,Trudy,Citizens Electoral Council,0,1000,Bag,
G,2,FLYNN,Peter,Citizens Electoral Council,0,1000,Bag,
H,1,SRI,Anna,The Greens,0,1000,Bag,
H,2,GILL,Lia Ngaree,The Greens,0,1000,Bag,
I,1,DICKSON,Mark James,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0,1000,Bag,
I,2,WHEELER,James David Richard,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0,1000,Bag,
